name,flooded
Чернобаевка,0
Сарыадыр,0
Новоселовка,0
Мукур,0
Шукырколь,0
15 лет Казахстана,0
Конырсу,0
Большой Талсай,0
Симоновка,0
Князевка,0
Дубровка,0
Гаршино,0
Пески,0
Конюхово,0
Малая Возвышенка,0
Дюсеке,0
Сарытомар,0
Жастар,0
Куралай,0
Рощино,0
Сулышок,0
Успенка,0
Уваковское,0
Узунколь,0
Куломзино,0
Пролетарка,0
Садовка,0
Рясинка,0
Двойники,0
Афанасьевка,0
Жалтыр,0
Мерген,0
Коноваловка,1
Городецкое,1
Баганаты,0
Аканбарак,0
Повозочное,0
Ортаколь,0
Меней,0
Белоглинка,0
Социал,0
Ровное,0
Алкаагаш,0
Кенес,0
Астаган,0
Ступинка,0
Семиполка,0
Балуан,0
Крещенка,0
Ольгинка,0
Богатыровка,0
Краснодольское,0
Новоберёзовка,0
Шункырколь,0
Тихоокеанское,0
Алабота,0
Макашевка,0
Краматоровка,0
Димитровка,0
Талап,0
Искра,0
Сосновка,0
Нурымбет,0
